junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_0,right,1,127000000000,178000000000,51.0
MaryRosslandJuction,veh_1002,left,1,618000000000,1483000000000,865.0
MaryRosslandJuction,veh_1005,straight,1,629000000000,1136000000000,507.0
MaryRosslandJuction,veh_1006,left,1,665000000000,1721000000000,1056.0
MaryRosslandJuction,veh_1007,right,1,716000000000,1077000000000,361.0
MaryRosslandJuction,veh_1010,left,1,132000000000,938000000000,806.0
MaryRosslandJuction,veh_1011,right,1,133000000000,825000000000,692.0
MaryRosslandJuction,veh_1012,left,1,134000000000,944000000000,810.0
MaryRosslandJuction,veh_1013,straight,1,135000000000,961000000000,826.0
MaryRosslandJuction,veh_1014,straight,1,197000000000,997000000000,800.0
MaryRosslandJuction,veh_1015,right,1,201000000000,999000000000,798.0
MaryRosslandJuction,veh_1016,left,1,203000000000,1123000000000,920.0
MaryRosslandJuction,veh_1017,straight,1,206000000000,1144000000000,938.0
MaryRosslandJuction,veh_1018,right,1,440000000000,972000000000,532.0
MaryRosslandJuction,veh_102,straight,1,305000000000,575000000000,270.0
MaryRosslandJuction,veh_1020,left,1,424000000000,486000000000,62.0
MaryRosslandJuction,veh_1022,right,1,728000000000,1050000000000,322.0
MaryRosslandJuction,veh_1026,right,1,2704000000000,2751000000000,47.0
MaryRosslandJuction,veh_1030,straight,1,2803000000000,2851000000000,48.0
MaryRosslandJuction,veh_1034,left,1,627000000000,1613000000000,986.0
MaryRosslandJuction,veh_1037,straight,1,618000000000,1144000000000,526.0
MaryRosslandJuction,veh_1038,left,1,719000000000,1638000000000,919.0
MaryRosslandJuction,veh_1039,right,1,725000000000,1130000000000,405.0
MaryRosslandJuction,veh_1042,left,1,136000000000,388000000000,252.0
MaryRosslandJuction,veh_1043,right,1,137000000000,827000000000,690.0
MaryRosslandJuction,veh_1044,left,1,138000000000,946000000000,808.0
MaryRosslandJuction,veh_1045,straight,1,139000000000,965000000000,826.0
MaryRosslandJuction,veh_1046,straight,1,207000000000,1151000000000,944.0
MaryRosslandJuction,veh_1047,right,1,208000000000,1006000000000,798.0
MaryRosslandJuction,veh_1048,left,1,210000000000,1126000000000,916.0
MaryRosslandJuction,veh_1049,straight,1,211000000000,1153000000000,942.0
MaryRosslandJuction,veh_1050,right,1,431000000000,962000000000,531.0
MaryRosslandJuction,veh_1052,left,1,630000000000,710000000000,80.0
MaryRosslandJuction,veh_1054,right,1,730000000000,1053000000000,323.0
MaryRosslandJuction,veh_1058,right,1,2758000000000,2811000000000,53.0
MaryRosslandJuction,veh_106,left,1,183000000000,826000000000,643.0
MaryRosslandJuction,veh_1062,straight,1,2875000000000,2922000000000,47.0
MaryRosslandJuction,veh_1066,left,1,672000000000,1637000000000,965.0
MaryRosslandJuction,veh_1069,straight,1,675000000000,1134000000000,459.0
MaryRosslandJuction,veh_1070,left,1,728000000000,1756000000000,1028.0
MaryRosslandJuction,veh_1071,right,1,734000000000,1143000000000,409.0
MaryRosslandJuction,veh_1074,left,1,140000000000,404000000000,264.0
MaryRosslandJuction,veh_1075,right,1,141000000000,959000000000,818.0
MaryRosslandJuction,veh_1076,left,1,142000000000,412000000000,270.0
MaryRosslandJuction,veh_1077,straight,1,143000000000,971000000000,828.0
MaryRosslandJuction,veh_1078,straight,1,212000000000,1286000000000,1074.0
MaryRosslandJuction,veh_1079,right,1,213000000000,1007000000000,794.0
MaryRosslandJuction,veh_1080,left,1,214000000000,1304000000000,1090.0
MaryRosslandJuction,veh_1081,straight,1,215000000000,1289000000000,1074.0
MaryRosslandJuction,veh_1084,left,1,639000000000,719000000000,80.0
MaryRosslandJuction,veh_1086,right,1,737000000000,1086000000000,349.0
MaryRosslandJuction,veh_109,straight,1,185000000000,362000000000,177.0
MaryRosslandJuction,veh_1090,right,1,2779000000000,2826000000000,47.0
MaryRosslandJuction,veh_1094,straight,1,2806000000000,2853000000000,47.0
MaryRosslandJuction,veh_1098,left,1,691000000000,1601000000000,910.0
MaryRosslandJuction,veh_110,left,1,152000000000,620000000000,468.0
MaryRosslandJuction,veh_1101,straight,1,629000000000,1133000000000,504.0
MaryRosslandJuction,veh_1102,left,1,737000000000,1647000000000,910.0
MaryRosslandJuction,veh_1103,right,1,743000000000,1148000000000,405.0
MaryRosslandJuction,veh_1106,left,1,144000000000,424000000000,280.0
MaryRosslandJuction,veh_1107,right,1,145000000000,963000000000,818.0
MaryRosslandJuction,veh_1108,left,1,146000000000,434000000000,288.0
MaryRosslandJuction,veh_1109,straight,1,147000000000,973000000000,826.0
MaryRosslandJuction,veh_111,right,1,155000000000,205000000000,50.0
MaryRosslandJuction,veh_1110,straight,1,216000000000,1060000000000,844.0
MaryRosslandJuction,veh_1111,right,1,217000000000,1061000000000,844.0
MaryRosslandJuction,veh_1112,left,1,219000000000,1305000000000,1086.0
MaryRosslandJuction,veh_1113,straight,1,222000000000,1296000000000,1074.0
MaryRosslandJuction,veh_1116,left,1,684000000000,746000000000,62.0
MaryRosslandJuction,veh_1118,right,1,738000000000,1088000000000,350.0
MaryRosslandJuction,veh_1122,right,1,2787000000000,2836000000000,49.0
MaryRosslandJuction,veh_1126,straight,1,2885000000000,2938000000000,53.0
MaryRosslandJuction,veh_1130,left,1,699000000000,1546000000000,847.0
MaryRosslandJuction,veh_1133,straight,1,673000000000,1141000000000,468.0
MaryRosslandJuction,veh_1134,left,1,747000000000,1663000000000,916.0
MaryRosslandJuction,veh_1135,right,1,788000000000,1187000000000,399.0
MaryRosslandJuction,veh_1138,left,1,148000000000,448000000000,300.0
MaryRosslandJuction,veh_1139,right,1,149000000000,969000000000,820.0
MaryRosslandJuction,veh_114,left,1,19000000000,59000000000,40.0
MaryRosslandJuction,veh_1140,left,1,150000000000,484000000000,334.0
MaryRosslandJuction,veh_1141,straight,1,151000000000,1017000000000,866.0
MaryRosslandJuction,veh_1142,straight,1,223000000000,1071000000000,848.0
MaryRosslandJuction,veh_1143,right,1,225000000000,1071000000000,846.0
MaryRosslandJuction,veh_1144,left,1,226000000000,1312000000000,1086.0
MaryRosslandJuction,veh_1145,straight,1,227000000000,1297000000000,1070.0
MaryRosslandJuction,veh_1148,left,1,494000000000,556000000000,62.0
MaryRosslandJuction,veh_115,right,1,21000000000,81000000000,60.0
MaryRosslandJuction,veh_1150,right,1,745000000000,1095000000000,350.0
MaryRosslandJuction,veh_1154,right,1,2796000000000,2846000000000,50.0
MaryRosslandJuction,veh_116,left,1,22000000000,206000000000,184.0
MaryRosslandJuction,veh_1162,left,1,703000000000,1730000000000,1027.0
MaryRosslandJuction,veh_1165,straight,1,708000000000,1073000000000,365.0
MaryRosslandJuction,veh_1166,left,1,791000000000,1619000000000,828.0
MaryRosslandJuction,veh_1167,right,1,797000000000,1195000000000,398.0
MaryRosslandJuction,veh_117,straight,1,23000000000,145000000000,122.0
MaryRosslandJuction,veh_1170,left,1,152000000000,450000000000,298.0
MaryRosslandJuction,veh_1171,right,1,153000000000,971000000000,818.0
MaryRosslandJuction,veh_1172,left,1,154000000000,504000000000,350.0
MaryRosslandJuction,veh_1173,straight,1,155000000000,1019000000000,864.0
MaryRosslandJuction,veh_1174,straight,1,228000000000,1442000000000,1214.0
MaryRosslandJuction,veh_1175,right,1,229000000000,1077000000000,848.0
MaryRosslandJuction,veh_1176,left,1,231000000000,1315000000000,1084.0
